,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
4742,10.0,40,saturday,1,night,joypurhat,rajshahi,0.8,10,34,rainy,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4743,8.0,32,wednesday,0,night,joypurhat,rajshahi,15.2,9,31,rainy,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4744,1.0,4,thursday,0,morning,joypurhat,rajshahi,0.0,10,25,winter,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4745,3.0,9,saturday,1,morning,joypurhat,rajshahi,0.0,10,30,hot,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4746,3.0,12,tuesday,0,morning,joypurhat,rajshahi,0.0,10,27,hot,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4747,4.0,15,friday,1,morning,chuadanga,khulna,0.0,10,33,hot,172961,172961,345922,100,4.0,949.0,45.7,659,30,1,5,44,7,bodyfound
4748,10.0,41,friday,1,noon,chuadanga,khulna,0.8,9,34,rainy,172961,172961,345922,100,4.0,949.0,45.7,659,30,1,5,44,7,bodyfound
4749,1.0,53,friday,1,night,bandarban,chattogram,0.0,10,22,winter,25650,23667,49317,108,5.12,56.0,31.3,79,2,0,7,3,0,bodyfound
4750,4.0,16,monday,0,noon,barguna,BArISaL,0.6,10,37,hot,131930,138872,270802,95,4.3,376.0,52.8,1138,44,0,2,57,7,bodyfound
4751,,53,thursday,0,morning,,barisal,0.0,10,24,winter,131930,138872,270802,95,4.3,376.0,,1138,44,0,2,57,7,bodyfound
4752,12.0,53,thursday,0,morning,barguna,barisal,0.0,10,24,winter,131930,138872,270802,95,4.3,376.0,52.8,1138,44,0,2,57,7,bodyfound
4753,10.0,43,monday,0,night,barguna,barisal,0.0,10,35,rainy,131930,138872,270802,95,4.3,376.0,52.8,1138,44,0,2,57,7,bodyfound
4754,11.0,48,monday,0,noon,narayanganj,dhaka,0.0,10,28,winter,188275,188275,376550,100,4.83,2080.0,41.0,766,3,1,1,23,4,bodyfound
4755,9.0,36,saturday,1,morning,narayanganj,dhaka,6.0,9,35,rainy,188275,188275,376550,100,4.83,2080.0,41.0,766,3,1,1,23,4,bodyfound
4756,10.0,43,monday,0,afternoon,narayanganj,dhaka,0.0,10,31,rainy,188275,188275,376550,100,4.83,2080.0,41.0,766,3,1,1,23,4,bodyfound
4757,3.0,12,saturday,1,night,narayanganj,DhAka,9.1,9,31,hot,188275,188275,376550,100,4.83,2080.0,41.0,766,3,1,1,23,4,bodyfound
4758,12.0,51,tuesday,0,noon,narayanganj,dhaka,0.3,9,23,winter,188275,188275,376550,100,4.83,2080.0,41.0,766,3,1,1,23,4,bodyfound
4759,11.0,48,thursday,0,noon,narayanganj,dhaka,0.0,10,28,winter,188275,188275,376550,100,4.83,2080.0,41.0,766,3,1,1,23,4,bodyfound
4760,9.0,37,wednesday,0,night,narayanganj,dhaka,7.9,9,36,rainy,188275,188275,376550,100,4.83,2080.0,41.0,766,3,1,1,23,4,bodyfound
4761,3.0,12,friday,1,morning,brahmanbaria,chattogram,0.0,10,28,hot,146170,152260,298430,96,5.37,2673.0,51.2,290,6,0,3,15,4,bodyfound
4762,11.0,44,sunday,0,afternoon,brahmanbaria,chattogram,0.0,10,30,winter,146170,152260,298430,96,5.37,2673.0,51.2,290,6,0,3,15,4,bodyfound
4763,11.0,44,sunday,0,afternoon,brahmanbaria,chattogram,0.0,10,30,winter,146170,152260,298430,96,5.37,2673.0,51.2,290,6,0,3,15,4,bodyfound
4764,1.0,4,thursday,0,night,brahmanbaria,chattogram,0.0,10,24,winter,146170,152260,298430,96,5.37,2673.0,51.2,290,6,0,3,15,4,bodyfound
4765,2.0,8,monday,0,night,brahmanbaria,chattogram,0.0,10,25,winter,146170,152260,298430,96,5.37,2673.0,51.2,290,6,0,3,15,4,bodyfound
4766,5.0,18,friday,1,noon,brahmanbaria,chattogram,22.2,8,35,hot,146170,152260,298430,96,5.37,2673.0,51.2,290,6,0,3,15,4,bodyfound
4767,5.0,19,wednesday,0,morning,pabna,rajshahi,1.9,10,39,hot,78232,79022,157254,99,4.09,845.0,43.7,277,0,0,2,17,8,bodyfound
4768,3.0,10,thursday,0,noon,pabna,rajshahi,0.0,10,24,hot,78232,79022,157254,99,4.09,845.0,43.7,277,0,0,2,17,8,bodyfound
4769,9.0,38,tuesday,0,morning,naogaon,rajshahi,19.7,9,35,rainy,96143,97113,193256,99,4.25,679.0,45.4,514,1,0,1,36,6,bodyfound
4770,4.0,16,tuesday,0,morning,naogaon,rajshahi,3.9,10,35,hot,96143,97113,193256,99,4.25,679.0,45.4,514,1,0,1,36,6,bodyfound
4771,4.0,14,saturday,1,morning,panchagarh,rangpur,0.2,10,29,hot,66937,55813,133650,100,4.16,637.0,59.8,601,0,0,1,43,5,bodyfound
4772,5.0,20,thursday,0,evening,panchagarh,rangpur,2.2,10,31,hot,66937,55813,133650,100,4.16,637.0,59.8,601,0,0,1,43,5,bodyfound
4773,,31,monday,0,night,panchagarh,rangpur,13.3,9,38,rainy,66937,55813,133650,100,4.16,637.0,59.8,601,0,0,1,43,5,bodyfound
4774,5.0,21,wednesday,0,morning,barisal,barisal,3.1,10,38,hot,67586,72775,140361,93,4.4,851.0,68.8,645,37,0,3,35,3,bodyfound
4775,,34,thursday,0,,,rajshahi,0.3,10,40,rainy,100671,100671,201342,100,3.73,941.0,,674,1,0,2,34,4,bodyfound
4776,12.0,50,tuesday,0,morning,rangpur,rangpur,0.0,10,20,winter,144589,143157,287746,101,3.99,955.0,43.0,942,2,0,1,56,5,bodyfound
4777,12.0,50,saturday,1,morning,natore,rajshahi,0.0,10,25,winter,65173,65831,131004,99,3.89,937.0,56.5,365,0,1,2,43,15,bodyfound
4778,3.0,12,thursday,0,morning,bagerhat,khulna,0.0,10,31,hot,133858,132531,266389,101,4.11,977.0,63.6,673,16,2,5,61,6,bodyfound
4779,4.0,15,wednesday,0,morning,bagerhat,khulna,1.4,10,33,hot,133858,132531,266389,101,4.11,977.0,63.6,673,16,2,5,61,6,bodyfound
4780,12.0,50,wednesday,0,morning,rajshahi,rajshahi,0.0,10,29,winter,177157,177507,354664,100,3.77,968.0,49.6,379,0,1,1,45,9,bodyfound
4781,,30,thursday,0,morning,,khulna,23.9,8,36,rainy,107568,109329,216897,98,4.3,704.0,,716,94,0,5,38,8,bodyfound
4782,4.0,16,thursday,0,morning,jashore,khulna,0.0,10,35,hot,107568,109329,216897,98,4.3,704.0,52.8,716,94,0,5,38,8,bodyfound
4783,2.0,9,monday,0,noon,rajshahi,rajshahi,0.0,10,28,winter,177157,177507,354664,100,3.77,968.0,46.3,1855,0,1,4,97,22,bodyfound
4784,2.0,7,tuesday,0,morning,habiganj,sylhet,0.0,10,26,winter,98101,99896,197997,98,5.28,790.0,39.8,307,7,0,2,10,2,bodyfound
4785,9.0,39,thursday,0,morning,barisal,barisal,0.3,10,35,rainy,148925,164920,313845,90,4.4,851.0,63.3,1059,78,0,1,80,11,bodyfound
4786,1.0,5,thursday,0,morning,sylhet,sylhet,0.0,10,23,winter,157975,162252,320227,97,5.9,852.0,50.2,620,10,0,2,31,4,bodyfound
4787,,20,wednesday,0,morning,sylhet,sylhet,0.2,10,33,hot,157975,162252,320227,97,5.9,852.0,50.2,620,10,0,2,31,4,bodyfound
4788,5.0,19,wednesday,0,morning,thakurgaon,rangpur,4.0,10,34,hot,98769,96280,195049,103,4.28,686.0,43.4,649,0,0,1,34,3,bodyfound
4789,12.0,49,wednesday,0,noon,thakurgaon,rangpur,0.0,10,25,winter,98769,96280,195049,103,4.28,686.0,43.4,649,0,0,1,34,3,bodyfound
4790,7.0,28,monday,0,night,rajbari,dhaka,17.6,9,36,rainy,103675,103411,207086,100,4.47,904.0,55.5,589,5,1,1,31,6,bodyfound
4791,10.0,42,saturday,1,morning,rajbari,dhaka,0.0,10,32,rainy,103675,103411,207086,100,4.47,904.0,55.5,589,5,1,1,31,6,bodyfound
4792,9.0,38,thursday,0,morning,barisal,barisal,2.8,10,36,rainy,73073,75115,148188,97,4.3,1103.0,67.2,552,113,0,3,33,4,bodyfound
4793,8.0,31,friday,1,noon,narayanganj,dhaka,1.2,10,35,rainy,158733,154108,312841,103,4.26,1589980.9179942366,58.9,636,7,0,1,20,2,bodyfound
4794,8.0,32,monday,0,afternoon,narayanganj,dhaka,1.3,10,41,rainy,158733,154108,312841,103,4.26,5751.0,58.9,636,7,0,1,20,2,bodyfound
4795,2.0,7,monday,0,afternoon,narayanganj,dhaka,0.0,10,25,winter,158733,154108,312841,103,4.26,5751.0,58.9,636,7,0,1,20,2,bodyfound
4796,2.0,8,monday,0,afternoon,narayanganj,  dhaka ,0.0,10,27,winter,158733,154108,312841,103,4.26,5751.0,58.9,636,7,0,1,20,2,bodyfound
4797,5.0,21,friday,1,noon,bandarban,  chattogram ,6.5,10,37,hot,47687,40595,88282,117,4.44,176.0,49.3,206,26,6,4,5,0,bodyfound
4798,2.0,6,wednesday,0,night,bandarban,chATtOgRAM,0.0,10,24,winter,47687,40595,88282,117,4.44,176.0,49.3,206,26,6,4,5,0,bodyfound
